song_name,artist_name,primary_feeling,youtube_music_url,core_affect_quadrant,song_download_status,wav_filename,bpm,danceability,onset_rate,average_loudness,dynamic_complexity,spectral_energy,chords_changes_rate,pitch_salience,spectral_complexity,spectral_centroid,barkbands_flatness_db,zerocrossingrate
Seasons in the Abyss,Slayer,Energized,https://music.youtube.com/watch?v=hVJ4rYjUgX4,Quadrant 1,Success,seasonsintheabyss(albumversion).wav,151.9923553,1.135374904,2.923207045,0.808095276,2.737498045,0.021355554,0.054738563,0.582848132,27.13679695,1929.544678,0.131597549,0.074671812
The One,Mary J. Blige,Empowered,https://music.youtube.com/watch?v=OdMtm4v331g,Quadrant 1,Success,theone(main).wav,103.9654083,1.336396694,4.291873932,0.940942526,4.843274593,0.047157537,0.090004422,0.400384724,12.99977875,1325.82312,0.221936852,0.041398603
Sensational ,Chris Brown,Enthusiastic,https://music.youtube.com/watch?v=k_aixXMK068,Quadrant 1,Success,sensational.wav,99.80304718,1.473238587,5.105320454,0.904866517,4.446212292,0.032120824,0.074929692,0.492355824,10.92325497,1061.397949,0.179972798,0.063945666
luther,Kendrick Lamar,Good,https://music.youtube.com/watch?v=XVveECQmiAk,Quadrant 1,Success,luther.wav,138.0644989,1.183610678,4.734489918,0.856351495,4.826946259,0.050348017,0.066387869,0.45246762,11.26088047,850.7706909,0.220094427,0.044403087
Welcome To The Jungle,Guns N' Roses,Energized,https://music.youtube.com/watch?v=0CNPR2qNzxk,Quadrant 1,Success,welcometothejungle.wav,123.3859711,1.229002118,3.531891346,0.904789746,2.888618231,0.021763455,0.066542186,0.622134864,28.52682495,2042.842407,0.100007959,0.083620772
Walk,Pantera,Confident,https://music.youtube.com/watch?v=kOV2iTeGQik,Quadrant 1,Success,walk.wav,117.6907425,1.198312044,3.877626419,0.930260718,3.501685858,0.020836765,0.100633562,0.590329528,25.09592628,2564.843994,0.128348291,0.104960755
Shake It Off,Taylor Swift,Happy,https://music.youtube.com/watch?v=1nFxMuPYeKA,Quadrant 1,Success,shakeitoff.wav,161.5653992,1.114346862,4.096349239,0.881961107,3.652330875,0.037331332,0.075391784,0.522780418,22.56068611,1827.11438,0.128179058,0.079057142
Kryptonite,3 Doors Down,Energized,https://music.youtube.com/watch?v=UjWZGLi-1jM,Quadrant 1,Success,kryptonite.wav,98.93689728,1.182434678,3.650130033,0.953398824,2.252800703,0.035980452,0.057352651,0.558818758,25.88786316,1428.628662,0.14709428,0.060524732
Die With A Smile,Lady Gaga & Bruno Mars,Happy,https://music.youtube.com/watch?v=DlFXDl_ROAM,Quadrant 1,Success,diewithasmile.wav,155.9586639,1.040716171,3.186572313,0.735443592,5.382961273,0.026224645,0.04132079,0.518767476,15.87380028,1238.651978,0.160928085,0.05808745
Calm Down,Rema,Calm,https://music.youtube.com/watch?v=Fm4WiX6i1FE,Quadrant 4,Success,calmdown.wav,107.0099945,1.486347198,4.607759953,0.958943069,3.536859035,0.039999016,0.040760297,0.503065944,13.0344286,761.1415405,0.203022867,0.040156066
Gethsemane,Sleep Token,Bitter,https://music.youtube.com/watch?v=DZtq-IqULAo,Quadrant 2,Success,gethsemane.wav,146.8576355,1.016035676,3.012274981,0.46895799,5.57787466,0.031894114,0.056187939,0.502536416,18.63225174,1391.380127,0.168757156,0.058501471
God's Plan,Drake,Inspired,https://music.youtube.com/watch?v=FrsOnNxIrg8,Quadrant 4,Success,god'splan.wav,153.5666962,1.023806572,3.934772015,0.186358586,5.980773449,0.054767992,0.081194587,0.460108757,12.31466579,1360.549072,0.223005742,0.055017691
Iron Man,Black Sabbath,Joy,https://music.youtube.com/watch?v=Y68sopy2yBE,Quadrant 1,Success,ironman(2012-remaster).wav,154.7263184,1.171137929,2.932444334,0.814853311,2.972769976,0.025377404,0.080883317,0.556705117,23.52659416,1814.753784,0.135986105,0.070440598
Aloha Ke Akua,Nahko And Medicine For The People,Hopeful,https://music.youtube.com/watch?v=suu2Brsj_gI,Quadrant 4,Success,alohakeakua.wav,114.930336,1.107789755,3.961772919,0.857309341,5.417354584,0.028986469,0.056633253,0.529450119,15.98834705,1398.321045,0.180225492,0.059855409
Glycerine,Bush,Nostalgic,https://music.youtube.com/watch?v=ONHA6YHjI9o,Quadrant 4,Success,glycerine(remastered).wav,113.8035812,0.923464239,2.041132927,0.358242899,4.633227348,0.031188058,0.041811846,0.538483739,16.54220772,998.0210571,0.185605958,0.041346051
Total Eclipse of the Heart,Bonnie Tyler,Nostalgic,https://music.youtube.com/watch?v=fSeFxzeo5Ts,Quadrant 4,Success,totaleclipseoftheheart.wav,132.169754,1.070195317,2.454376221,0.395754844,7.224388123,0.014705965,0.060091082,0.546570122,15.08820248,1704.719482,0.13628,0.08356373
Ms. Jackson,OutKast,Euphoric,https://music.youtube.com/watch?v=CSD2J8yaMmM,Quadrant 1,Success,ms.jackson.wav,95.02926636,1.58771801,4.631551266,0.885751545,6.058134556,0.019387163,0.105199933,0.552442312,11.82938576,1242.807617,0.135260567,0.06053577
Everyday Yours,Drake White,Happy,https://music.youtube.com/watch?v=0u2q548U2TQ,Quadrant 1,Success,everydayyours.wav,122.1691589,1.019897342,3.009168863,0.819840968,5.037938595,0.027069109,0.040534712,0.521634936,12.48398876,829.2763062,0.196009591,0.040060647
Drops of Jupiter (Tell Me),Train,Elated,https://music.youtube.com/watch?v=qthko5ppHcM,Quadrant 1,Success,dropsofjupiter(tellme).wav,161.7869568,1.037390828,3.335290194,0.863240123,3.628169298,0.031359512,0.037149493,0.54645896,19.77331161,1127.574707,0.145234138,0.052227996
Celibate Now,Girl in a Coma,Euphoric,https://music.youtube.com/watch?v=MrHVXDl1rk0,Quadrant 1,Success,celibatenow.wav,93.26912689,1.268644929,2.688727856,0.968538225,1.910326958,0.032436602,0.059704732,0.593131959,32.74790955,1850.682617,0.124185741,0.069924407
Heal the World,Michael Jackson,Inspired,https://music.youtube.com/watch?v=cyCMuCFCkdk,Quadrant 4,Success,healtheworld.wav,80.95548248,1.084716678,3.16649437,0.306430697,6.108873367,0.021216139,0.039748702,0.556277633,14.36458683,1059.355835,0.138648927,0.06025213
Us and Them,Pink Floyd,Powerful,https://music.youtube.com/watch?v=5wth9BScmGY,Quadrant 1,Success,usandthem.wav,144.3141785,0.971094012,2.367597342,0.304778725,4.44285202,0.020442443,0.036414012,0.584820211,13.26180077,646.1036987,0.205126226,0.030393127
Hold the Line,Toto,Melancholic,https://music.youtube.com/watch?v=ZP69PLBqFUo,Quadrant 3,Success,holdtheline.wav,96.25148773,1.226510882,3.799352884,0.905151188,3.770967484,0.019084157,0.070949942,0.576350451,20.65582466,2050.184814,0.099270195,0.109825842
